unique,album,characters,seconds,month,day,year_released,artist_name,writers,producer,listens,chart_peak,chart_duration,remixed,grammy,featured,explicit ,awards,music_video,live_performance,hip_pop,country,rap,r&b,rock,latin,metal,jazz
,,,,,,,,,,,1,24,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,2,6,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,1,0,,,,,,,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,2,0,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,2,8,,,,,,,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,6,19,,,,,,,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,1,31,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,1,11,,,,,,,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,9,7,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,1,19,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,2,0,,,,,,,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,1,12,,,,,,,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,1,0,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,4,43,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,2,8,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,16,12,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,17,39,,,,,,,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,12,35,,,,,,,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,19,10,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,1,0,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,21,10,,,,,,,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,2,19,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,23,0,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,7,0,,,,,,,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,17,9,,,,,,,1,0,0,0,0,0,0,0,0
,,,,,,,,,,,20,6,,,,,,,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,15,5,,,,,,,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,18,6,,,,,,,1,0,0,0,0,1,0,0,0
,,,,,,,,,,,4,5,,,,,,,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,17,4,,,,,,,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,24,3,,,,,,,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,3,4,,,,,,,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,7,7,,,,,,,1,0,1,0,0,0,0,0,0
,,,,,,,,,,,17,9,,,,,,,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,31,12,,,,,,,0,1,0,0,0,0,0,0,0
,,,,,,,,,,,18,8,,,,,,,1,0,0,1,0,0,0,0,0
,,,,,,,,,,,25,11,,,,,,,1,0,0,0,1,0,0,0,0
,,,,,,,,,,,19,10,,,,,,,0,0,1,0,0,0,0,0,0
,,,,,,,,,,,6,3,,,,,,,1,1,0,0,0,0,0,0,0
,,,,,,,,,,,13,2,,,,,,,0,0,0,0,1,0,0,0,0
